the_geom,Serial,stopID,stopCode,stopName,Lon,Lat,Shelby County Zip Codes,Memphis 3.0 Focus Anchors Buffers,Memphis 3.0 Planning Districts,City Council Districts
POINT (-89.97228699999994 35.08048100000008),1403,45,KETPENSN,KETCHUM RD@PENDLETON ST,-89.972287,35.080481,13,,5,5
POINT (-89.89750999999995 35.15779800000007),1763,3110,MENMACNM,MENDENHALL@MACON,-89.89751,35.157798,20,,6,4
POINT (-89.93950599999994 35.087965000000054),2525,4189,ROBSTUSM,ROBIN HOOD@STURGEON,-89.939506,35.087965,10,,5,5
POINT (-89.92541199999994 35.14914900000008),2934,4070,SUMNGRWM,SUMMER AVE@NGRAHAM ST,-89.925412,35.149149,20,,6,4
POINT (-89.99770999999998 35.15238800000003),1952,3607,NPAMCLEN,N PARKWAY@MCLEAN,-89.99771,35.152388,11,,8,4
POINT (-89.98838099999995 35.17370800000003),374,1522,CHEBRIEM,CHELSEA@BRITTON,-89.988381,35.173708,8,,7,7
POINT (-90.03722599999998 35.15622100000007),1299,3774,JACTHOWN,JACKSON AVE@THOMAS,-90.037226,35.156221,7,,8,7
POINT (-89.93206799999996 35.18414300000006),1251,3722,JACGRASM,JACKSON AVE@GRAGG AVE,-89.932068,35.184143,24,,6,7
POINT (-89.99633099999994 35.21741700000007),873,1260,FRADENWF,FRAYSER@DENVER,-89.996331,35.217417,23,,1,7
POINT (-89.91569599999997 35.13138800000007),3293,2976,WALCHEWF,WALNUT GROVE RD@CHERRY RD,-89.915696,35.131388,16,,9,4
POINT (-89.86078499999996 35.04980500000005),3556,404,WINHICOB,WINCHESTER@HICKORY HILL MALL,-89.860785,35.049805,14,,10,3
POINT (-89.97657799999996 35.08022500000004),1395,4647,KETCROWN,KETCHUM@CROSBY,-89.976578,35.080225,13,,5,5
POINT (-89.90112499999998 35.06914800000004),557,1843,COTCLEEM,COTTONWOOD@CLEARBROOK,-89.901125,35.069148,17,,11,5
POINT (-89.97531499999997 35.199145000000044),1334,6191,JAMHOLEF,JAMES RD@HOLLYWOOD ST,-89.975315,35.199145,23,,1,1
POINT (-90.05213199999997 35.132619000000034),933,715,GEPHEREN,GEPATTERSON@HERNANDO,-90.052132,35.132619,22,,8,6
POINT (-90.05457699999994 35.13307000000003),3059,631,THIGEPNF,THIRD@GEPATTERSON,-90.054577,35.13307,22,,8,6
POINT (-89.94491199999999 35.06958700000007),1482,5676,LAMDEMWF,LAMAR AVE@DEMOCRAT,-89.944912,35.069587,17,,11,5
POINT (-89.90584799999993 35.063346000000024),2186,6647,PERKNISN,PERKINS@KNIGHT ARNOLD,-89.905848,35.063346,17,,11,5
POINT (-90.00606199999999 35.159399000000064),1273,3900,JACMAUEN,JACKSON@MAURY ST,-90.006062,35.159399,7,,8,7
POINT (-89.98041999999998 35.13347500000003),3213,2995,UNIPATWN,UNION AVE@PATRICIA DR,-89.98042,35.133475,11,,8,4
POINT (-90.06741499999998 35.09341800000004),1384,390,KANFIRNF,KANSAS@FIRST,-90.067415,35.093418,9,,14,6
POINT (-89.95853399999999 35.161437000000035),1289,3922,JACPOPEF,JACKSON@POPE,-89.958534,35.161437,11,,6,4
POINT (-90.02372199999996 35.16861700000004),391,1611,CHEDECWN,CHELSEA@DECATUR,-90.023722,35.168617,7,,7,7
POINT (-89.97573699999998 35.198225000000036),1140,1537,HOLJAMNN,HOLLYWOOD ST@JAMES RD,-89.975737,35.198225,23,,1,1
POINT (-89.95923699999997 35.134243000000026),3306,2989,WALHAYWM,WALNUT GROVE RD@HAYDEN ST,-89.959237,35.134243,10,6,9,4
POINT (-90.05644799999999 35.06312900000006),244,5260,BROGILWN,BROOKS@GILL,-90.056448,35.063129,9,,12,6
POINT (-89.97443099999998 35.108322000000044),2022,2181,PARDAVWN,PARK@DAVID,-89.974431,35.108322,13,,5,5
POINT (-89.94242899999995 35.066385000000025),1509,7166,LAMLYNNN,LAMAR@LYNHURST,-89.942429,35.066385,17,,11,5
POINT (-89.88489699999997 35.104193000000066),2027,2143,PARESTWF,PARK@ESTATE,-89.884897,35.104193,18,,4,4
POINT (-89.97309399999995 35.115631000000064),2683,3436,SOUBOSEF,SOUTHERN AVE@BOSTON ST,-89.973094,35.115631,13,,5,5
POINT (-89.97558999999995 35.173775000000035),1132,3656,HOLHUBSN,HOLLYWOOD@HUBBARD,-89.97559,35.173775,8,,7,7
POINT (-89.85278499999998 35.068256000000076),1857,6573,MTMR13WM,MT MORIAH@RIDGEWAY,-89.852785,35.068256,14,,10,3
POINT (-90.02284299999997 35.06153800000004),237,5295,BROELVEF,BROOKS RD @ ELVIS PRESLEY BLVD,-90.022843,35.061538,15,,12,3
POINT (-90.01512299999996 35.104156000000046),2217,4599,PILGOLSM,PILLOW@GOLD,-90.015123,35.104156,6,,14,5
POINT (-89.89723899999996 35.09115500000007),2405,2828,QUIMTMEN,QUINCE RD@MT MORIAH RD,-89.897239,35.091155,16,,9,4
POINT (-89.97915199999994 35.13846100000006),109,3314,ALIPOPSF,ALICIA DR@POPLAR AVE,-89.979152,35.138461,11,,8,4
POINT (-90.02142899999996 35.12218500000006),208,4261,BELWILSF,BELLEVUE@WILLIAMS AVE,-90.021429,35.122185,6,,14,6
POINT (-90.02138699999995 35.11796700000008),174,4371,BELBEENN,BELLEVUE@BEECHWOOD,-90.021387,35.117967,6,,14,5
POINT (-89.95271099999997 35.05236400000007),3607,1695,WINTUCWF,WINCHESTER RD @ TCHULAHOMA RD,-89.952711,35.052364,17,,11,3
POINT (-89.90661399999999 35.09835400000003),2164,3138,PERDEENM,PERKINS@DEE RD,-89.906614,35.098354,16,,9,4
POINT (-90.08681899999999 35.05658600000004),2551,5867,SAXMITNF,SAX RD@MITCHELL RD,-90.086819,35.056586,9,,13,6
POINT (-89.98349399999995 35.07929100000007),1398,6095,KETKETEF,KETCHUM@KETCHUM CV,-89.983494,35.079291,13,,5,5
POINT (-89.89531599999998 35.207141000000036),2796,991,STACOVWF,STAGE@COVINGTON PIKE,-89.895316,35.207141,24,,2,1
POINT (-89.94161699999995 35.17497600000007),389,4592,CHECROEN,CHELSEA AVE@CROW,-89.941617,35.174976,8,,7,7
POINT (-89.98242799999997 35.15838300000007),1239,3913,JACEASEM,JACKSON@EAST,-89.982428,35.158383,11,,8,4
POINT (-89.95492499999995 35.02085200000005),2667,7240,SHETCHWF,SHELBY@TCHULAHOMA,-89.954925,35.020852,17,,11,3
POINT (-90.02121799999998 35.070573000000024),689,5200,ELVCORNN,ELVIS PRESLEY@CORPORATE,-90.021218,35.070573,26,,12,5
POINT (-90.07783199999994 35.06694500000003),2116,5810,PEEALTWN,PEEBLES ST@ALTA,-90.077832,35.066945,9,,13,6
POINT (-90.00488799999994 35.15967500000005),1283,3901,JACNAVEN,JACKSON@NAVALON,-90.004888,35.159675,7,,8,7
POINT (-89.83149299999997 35.02775400000007),2514,7238,RIVROCSN,RIVERDALE@ROCKINGHAM,-89.831493,35.027754,31,,10,2
POINT (-89.96218499999998 35.10796300000004),2010,2172,PARCARWM,PARK@CARSON,-89.962185,35.107963,10,,9,5
POINT (-89.94058599999994 35.020556000000056),2597,2458,SHEDISEN,SHELBY@DISTRIPLEX,-89.940586,35.020556,17,,11,3
POINT (-89.92232899999999 35.05956900000007),1012,2705,GOOFORSN,GOODLETT@FOREST VIEW,-89.922329,35.059569,17,,11,3
POINT (-90.05118799999997 35.11808300000007),853,4835,FOUGASSN,FOURTH@GASTON,-90.051188,35.118083,6,,14,6
POINT (-89.87892199999999 35.13122800000008),3330,2932,WALOAKWN,WALNUT GROVE@OAK GROVE ST,-89.878922,35.131228,19,,4,4
POINT (-90.06296899999995 35.09178200000008),834,4884,FLONORSN,FLORIDA@NORWOOD,-90.062969,35.091782,9,,14,6
POINT (-89.98998199999994 35.015885000000026),51,5350,AIRJAMSN,AIRWAYS@JAMIE,-89.989982,35.015885,15,,12,3
POINT (-90.04408599999994 35.100573000000054),1572,4801,LAUDISNN,LAUDERDALE@DISON,-90.044086,35.100573,6,,14,6
POINT (-90.10533399999997 35.04953000000006),791,5587,FIEOUTEF,FIELDS@OUTLET RD,-90.105334,35.04953,9,,13,6
POINT (-89.88664299999994 35.13038800000004),3355,2893,WALWHIEF,WALNUT GROVE@WHITE STATION,-89.886643,35.130388,19,,4,4
POINT (-89.86475899999994 35.168022000000065),2664,4149,SHESYCSN,SHELBY OAKS@SYCAMORE VIEW,-89.864759,35.168022,28,,3,1
POINT (-89.92111499999999 35.06463500000007),1450,2786,KNIGOOEF,KNIGHT ARNOLD RD@GOODLETT ST,-89.921115,35.064635,17,,11,5
POINT (-89.86648299999996 35.03139500000003),1045,6356,HICPLUSF,HICKORY HILL@ PLUM VALLEY DR,-89.866483,35.031395,31,,10,3
POINT (-90.02091299999995 35.13216700000004),178,4255,BELCARSM,BELLEVUE@CARR AVE,-90.020913,35.132167,4,,8,6
POINT (-90.02457499999997 35.02079200000003),2599,5564,SHEELVEF,SHELBY DR@ELVIS PRESLEY BLVD,-90.024575,35.020792,15,,12,3
POINT (-90.04282099999995 35.14271000000008),3648,6179,DTHTROEB,MADISON@DANNYTHOMAS/TRO,-90.042821,35.14271,3,,8,7
POINT (-89.79243099999997 35.18872300000004),946,953,GERVARNF,GERMANTOWN PKY@VARNAVAS,-89.792431,35.188723,34,,3,1
POINT (-89.84834399999994 35.20481900000004),2772,287,STAALTWF,STAGE@ALTRURIA,-89.848344,35.204819,28,,,
POINT (-89.86481399999997 35.07300500000008),1854,2630,MTMMTMWF,MTMORIAH RD@MTMORIAH TERR,-89.864814,35.073005,18,,11,3
POINT (-89.93693899999994 35.03110300000003),960,2577,GETCRONF,GETWELL@CROWFARN,-89.936939,35.031103,17,,11,3
POINT (-89.98854799999998 35.159415000000024),1303,3910,JACUNIEM,JACKSON@UNIVERSITY CIR,-89.988548,35.159415,11,,8,4
POINT (-89.94835399999994 35.123392000000024),363,3516,CENWINWN,CENTRAL AVE@WINDOVER RD,-89.948354,35.123392,10,,9,4
POINT (-89.90009099999997 35.106817000000035),2056,2149,PARIVYWF,PARK@IVY,-89.900091,35.106817,16,,9,4
POINT (-90.01160199999998 35.10943600000007),2745,2199,SPARAYWF,S PARKWAY@RAYNER,-90.011602,35.109436,6,,14,5
POINT (-90.08700999999996 35.021479000000056),3106,7098,THISHENF,THIRD@SHELBY,-90.08701,35.021479,9,,13,6
POINT (-90.03947299999999 35.15575700000005),141,810,AUCDANEM,AUCTION@DANNYTHOMAS,-90.039473,35.155757,5,,8,7
POINT (-90.01995499999998 35.02325700000006),770,5414,FARFARSN,FARONIA@FARROW,-90.019955,35.023257,15,,12,3
POINT (-89.90785099999994 35.06254400000006),1443,2732,KNIARRWM,KNIGHT ARNOLD R@ARRENDALE ST,-89.907851,35.062544,17,,11,5
POINT (-89.95961299999999 35.134288000000026),3296,3057,WALEASEM,WALNUT GROVE RD@EASTVIEW DR,-89.959613,35.134288,10,6,9,4
POINT (-89.97339999999997 35.23335100000003),2869,6890,STECOREN,ST ELMO@CORAL,-89.9734,35.233351,23,,1,7
POINT (-89.93093699999997 35.09316600000005),974,392,GETKIMNF,GETWELL@KIMBALL,-89.930937,35.093166,10,,9,5
POINT (-89.84172599999994 35.09874600000006),2352,2007,POPRANWN,POPLAR@RANDOLPH,-89.841726,35.098746,19,,4,2
POINT (-90.00757099999998 35.03183100000007),1816,5341,MILWHISN,MILLBRANCH RD@WHITMAN RD,-90.007571,35.031831,15,,12,3
POINT (-90.04806399999995 35.153909000000056),2569,613,SECJACSM,2ND ST@JACKSON AVE,-90.048064,35.153909,5,,8,7
POINT (-90.01300599999996 35.02111800000006),2636,5390,SHEMICWF,SHELBY DR@MICKEY,-90.013006,35.021118,15,,12,3
POINT (-89.98071599999997 35.06876200000005),629,2771,DEMRENEM,DEMOCRAT RD@RENTAL RD,-89.980716,35.068762,17,,11,3
POINT (-89.89183899999995 35.02046100000007),2668,2475,SHETUGEN,SHELBY@TUGGLE,-89.891839,35.020461,17,,11,3
POINT (-90.02220999999997 35.16426800000005),221,3825,BREJEHSN,BREEDLOVE@JEHL PL,-90.02221,35.164268,7,,7,7
POINT (-90.06072999999998 35.13175700000005),928,7130,FROGEPNM,FRONT@FARMERS MARKET,-90.06073,35.131757,3,,8,6
POINT (-89.91604399999994 35.16192500000005),1635,1112,MACWEIEN,MACON@WEINER,-89.916044,35.161925,20,,6,4
POINT (-90.06584499999997 35.097019000000046),1389,433,KANMAJNF,KANSAS@MAJUBA,-90.065845,35.097019,9,,14,6
POINT (-89.98938499999997 35.06882200000007),626,6569,DEMNONWN,DEMOCRAT@NONCONNAH,-89.989385,35.068822,26,,12,5
POINT (-89.93929999999995 35.09242500000005),2524,4187,ROBKIMSF,ROBIN HOOD@KIMBALL,-89.9393,35.092425,10,,5,5
POINT (-90.12465399999996 35.044929000000025),215,6086,BOXSEWSM,BOXTOWN@SEWANEE,-90.124654,35.044929,9,,13,6
POINT (-90.00954999999999 35.16980900000004),3425,3845,WATLEXSF,WATKINS@LEXINGTON CIR,-90.00955,35.169809,7,,7,7
POINT (-90.04563699999994 35.02077200000008),2587,5519,SHEBEREN,SHELBY DR@BERTA,-90.045637,35.020772,9,,13,6
POINT (-89.84911499999998 35.06010700000007),1457,6245,KNIKNIEM,KNIGHT ARNOLD@KNIGHT TRAILS CIR,-89.849115,35.060107,14,,10,3
POINT (-89.98155599999996 35.06890500000003),622,2754,DEMAI1WM,DEMOCRAT@AIRWAYS,-89.981556,35.068905,17,,11,5
POINT (-89.94897499999996 35.11514400000004),2710,3452,SOUPREEN,SOUTHERN AVE@PRESCOTT ST,-89.948975,35.115144,10,,9,4
POINT (-90.07974199999995 35.04285900000008),1588,5848,LEVHAMWF,LEVI@HAMMETT,-90.079742,35.042859,9,,13,6
POINT (-90.06129199999998 35.05133200000006),3045,5017,THIFA1SM,THIRD@FAIRWAY AVE,-90.061292,35.051332,9,,13,6
POINT (-89.98835899999995 35.10813600000006),1515,5747,LAMPAREF,LAMAR@PARK,-89.988359,35.108136,13,,14,5
POINT (-90.04010599999998 35.12208400000003),1832,4447,MISWILNN,MISSISSIPPI BLVD@WILLIAMS AVE,-90.040106,35.122084,22,3,14,6
POINT (-90.09836499999994 35.036421000000075),3460,5833,WEARAINF,WEAVER@RAINES,-90.098365,35.036421,9,,13,6
POINT (-90.02804899999995 35.15714800000006),1216,3769,JACAYEWN,JACKSON AVE@AYERS,-90.028049,35.157148,7,,7,7
POINT (-89.96841799999999 35.22959400000008),2563,1659,SCHLAKNN,SCHOOLFIELD@LAKE PARK,-89.968418,35.229594,23,,1,7
POINT (-90.05395699999997 35.13278400000007),937,717,GEPTHIWM,GEPATTERSON@THIRD,-90.053957,35.132784,22,,8,6
POINT (-90.05101699999994 35.11869900000005),856,4829,FOULACNN,FOURTH@LACLEDE,-90.051017,35.118699,22,,14,6
POINT (-89.93216299999995 35.06926900000008),957,2658,GETCOMSN,GETWELL RD@COMANCHE,-89.932163,35.069269,17,,11,5
POINT (-90.04694799999999 35.14572300000003),1365,846,JEFFOUEN,JEFFERSON@FOURTH,-90.046948,35.145723,3,,8,6
POINT (-90.00653699999998 35.12002400000006),1524,5739,LAMROZEN,LAMAR@ROZELLE,-90.006537,35.120024,13,,8,5
POINT (-89.98573399999998 35.15159300000005),1966,3538,NPAWESWN,N PARKWAY@WEST DR,-89.985734,35.151593,11,,8,4
POINT (-89.87134099999997 35.05031500000007),3542,1814,WINFOXWM,WINCHESTER@FOX MEADOWS,-89.871341,35.050315,14,,11,5
POINT (-89.91581099999996 35.10684800000007),437,6652,CHEPARSF,CHERRY RD@PARK AVE,-89.915811,35.106848,16,,9,4
POINT (-90.02202099999994 35.165305000000046),228,3824,BREVOLSF,BREEDLOVE@VOLLINTINE,-90.022021,35.165305,7,,7,7
POINT (-89.99941599999994 35.00648800000005),1133,5364,HOLHUDWN,HOLMES RD@HUDGINS RD,-89.999416,35.006488,15,,12,3
POINT (-89.91662699999995 35.08596300000005),3496,2802,WILCHEWN,WILLOW RD@CHERRY,-89.916627,35.085963,16,,9,5
POINT (-89.90385199999997 35.09146000000004),2401,2795,QUICOLWF,QUINCE RD@COLONIAL,-89.903852,35.09146,16,,9,4
POINT (-89.96429799999999 35.12376500000005),358,3521,CENTARWF,CENTRAL AVE@TARA,-89.964298,35.123765,10,,9,4
POINT (-89.97473499999995 35.157841000000076),1240,7253,JACEVAEN,JACKSON@EVA,-89.974735,35.157841,11,,6,4
POINT (-89.88878899999997 35.02057200000007),2670,2421,SHETUGWM,SHELBY@TUGGLE,-89.888789,35.020572,17,,11,3
POINT (-89.88570599999997 35.06692700000008),1751,1847,MENDARSF,MENDENHALL RD@DARGEN AVE,-89.885706,35.066927,17,,11,3
POINT (-90.01589399999995 35.141414000000054),496,3883,CLEJEFNN,CLEVELAND@JEFFERSON,-90.015894,35.141414,4,,8,6
POINT (-89.93700199999995 35.03299700000008),983,2578,GETRA1NM,GETWELL RD @ RAINES RD,-89.937002,35.032997,17,,11,3
POINT (-89.98688999999996 35.17393400000003),462,1523,CHETUNEN,CHELSEA@TUNICA,-89.98689,35.173934,8,,7,7
POINT (-89.90799999999996 35.20686400000005),2834,994,STAROBWN,STAGE@ROBBIEDON,-89.908,35.206864,24,,2,1
POINT (-89.93133899999998 35.04161600000003),25,7159,AIRAIRSM,AIR PARK@AIR PARK CV,-89.931339,35.041616,17,,11,3
POINT (-89.98367199999996 35.17433500000004),2762,4531,SPRCHESF,SPRINGDALE@CHELSEA,-89.983672,35.174335,8,,7,7
POINT (-90.01970199999994 35.02107600000005),2608,5393,SHEFARWN,SHELBY DR@FARONIA,-90.019702,35.021076,15,,12,3
POINT (-89.88760099999996 35.13038300000005),3356,2892,WALWHIEN,WALNUT GROVE@WHITE STATION,-89.887601,35.130383,16,,4,4
POINT (-89.95149999999995 35.00608300000005),1153,6864,HOLMELEM,HOLMES@TCHULAHOMA,-89.9515,35.006083,17,,11,3
POINT (-89.96158999999994 35.13732900000008),3166,7184,TILWAYNF,TILLMAN ST@WAYNOKA AVE,-89.96159,35.137329,10,6,9,4
POINT (-89.86613099999994 35.034800000000075),2425,7147,RAIHICEF,RAINES RD@HICKORY HILL RD,-89.866131,35.0348,31,,10,3
POINT (-89.99068699999998 35.12571600000007),533,3385,COOCENNN,COOPER@CENTRAL,-89.990687,35.125716,4,,8,5
POINT (-89.97548299999994 35.17020900000006),1911,3622,NHOELDNN,N HOLLYWOOD@ELDRIDGE,-89.975483,35.170209,8,,7,7
POINT (-90.04619599999995 35.14677700000004),10,843,ADAFOUWN,ADAMS@FOURTH,-90.046196,35.146777,3,,8,6
POINT (-90.04540699999995 35.156491000000074),148,815,AUCTHIWN,AUCTION AVE@3RD ST,-90.045407,35.156491,5,,7,7
POINT (-89.97771899999998 35.06899200000004),624,2753,DEMAIRWM,DEMOCRAT@AIRWAYS,-89.977719,35.068992,17,,11,5
POINT (-90.03404599999999 35.11554000000007),1720,4361,MCLFOUEN,MCLEMORE AVE@FOUNTAIN CT,-90.034046,35.11554,6,5,14,5
POINT (-89.99177699999996 35.15217000000007),1963,3540,NPAUNIWN,N PARKWAY@UNIVERSITY,-89.991777,35.15217,11,,8,4
POINT (-89.92207399999995 35.037243000000046),2419,7180,RAIDELWN,RAINES@DELP,-89.922074,35.037243,17,,11,3
POINT (-90.04906299999999 35.14423100000005),3692,6504,THITROWB,MADISON@THIRD/TRO,-90.049063,35.144231,3,,8,6
POINT (-90.08246499999996 35.06707000000006),2134,5812,PEEPARWF,PEEBLES@PARKER,-90.082465,35.06707,9,,13,6
POINT (-89.91302099999996 35.11873900000006),2282,1935,POPGROEM,POPLAR@GROVE PARK,-89.913021,35.118739,16,,9,4
POINT (-89.97718599999996 35.12590300000005),310,3322,CENEDWWN,CENTRAL AVE@EDWIN CIR,-89.977186,35.125903,4,,8,4
POINT (-90.12417699999997 35.04282000000006),2580,5591,SEWBOXWF,SEWANEE@BOXTOWN,-90.124177,35.04282,9,,13,6
POINT (-89.97869699999995 35.140212000000076),1166,235,HOLPOPNF,HOLLYWOOD ST@POPLAR AVE,-89.978697,35.140212,11,,9,4
POINT (-90.02665899999994 35.16732600000006),370,1632,CHEAYEEF,CHELSEA@AYERS,-90.026659,35.167326,7,,7,7
POINT (-90.01046299999996 35.16486100000003),3441,3848,WATVOLSN,WATKINS@VOLLINTINE,-90.010463,35.164861,7,,7,7
POINT (-90.02836599999995 35.06154900000007),252,5293,BROLUCEN,BROOKS RD@LUCIBILL,-90.028366,35.061549,15,,12,6
POINT (-89.99485399999998 35.06182700000005),642,7133,DIRBRONF,DIRECTORS ROW@BROOKS,-89.994854,35.061827,25,,12,5
POINT (-89.96328699999998 35.17430100000007),382,4524,CHECARWN,CHELSEA AVE@CARPENTER,-89.963287,35.174301,8,,7,7
POINT (-90.03299599999997 35.02081300000003),2604,5560,SHEFA1EN,SHELBY DR@FAIRFIELD,-90.032996,35.020813,15,,12,6
POINT (-89.82436499999994 35.20422600000006),2857,6473,STAVANWN,STAGE@VAN LEER DR,-89.824365,35.204226,27,,,
POINT (-89.91275199999995 35.131313000000034),3294,2975,WALCHEWN,WALNUT GROVE RD@CHERRY LN,-89.912752,35.131313,16,,9,4
POINT (-89.89819199999994 35.159470000000056),1706,3948,MCCNMEEM,MCCRORY@NMENDENHALL,-89.898192,35.15947,20,,6,4
POINT (-90.04374199999995 35.160698000000025),3070,649,THILOONM,THIRD@LOONEY,-90.043742,35.160698,7,,7,7
POINT (-89.86623399999996 35.16697000000005),2657,4138,SHESU4WM,SHELBY OAKS@SUMMER TREES,-89.866234,35.16697,28,,3,1
POINT (-89.98540799999995 35.12588200000005),336,3492,CENLANEF,CENTRAL AVE@LANDIS,-89.985408,35.125882,4,,8,5
POINT (-90.04669999999999 35.12567800000005),595,4319,DANCARNM,DANNY THOMAS@CAROLINA,-90.0467,35.125678,22,,14,6
POINT (-90.04962699999999 35.021344000000056),1094,5446,HODSHESN,HODGE@SHELBY DR,-90.049627,35.021344,9,,13,6
POINT (-90.05186599999996 35.132355000000075),1035,6099,HERGEPNN,HERNANDO@GE PATTERSON,-90.051866,35.132355,22,,8,6
POINT (-89.98399199999994 35.12545200000005),752,6841,EPACENNN,E PARKWAY@CENTRAL,-89.983992,35.125452,4,,8,5
POINT (-90.03016199999996 35.138247000000035),3191,3016,UNIDUDWF,UNION AVE@DUDLEY ST,-90.030162,35.138247,3,,8,6
POINT (-89.92870799999997 35.16221800000005),1632,3940,MACVICEF,MACON@VICTOR,-89.928708,35.162218,20,,6,4
POINT (-90.03003199999995 35.21670000000006),906,6870,FRATHOEF,FRAYSER@THOMAS,-90.030032,35.2167,23,,1,7
POINT (-89.91557499999999 35.11998500000004),2243,2034,POPCHEWM,POPLAR@CHERRY,-89.915575,35.119985,16,,9,4
POINT (-90.04387399999996 35.106686000000025),1578,4803,LAUSPANN,LAUDERDALE@SPARKWAY,-90.043874,35.106686,6,,14,6
POINT (-89.92269799999997 35.162078000000065),1629,3943,MACTATEN,MACON@TATUM,-89.922698,35.162078,20,,6,4
POINT (-90.11032299999994 35.03578200000004),2443,7245,RAIRI2EN,RAINES@RIDGE,-90.110323,35.035782,9,,13,6
POINT (-89.95019299999996 35.129185000000064),2355,2047,POPREEWN,POPLAR AVE@REESE ST,-89.950193,35.129185,10,,9,4
POINT (-90.04451499999999 35.15876900000006),3060,648,THIGRENM,THIRD@GREENLAW,-90.044515,35.158769,5,,7,7
POINT (-89.98419799999994 35.11985800000008),755,30,EPAYOUNF,E PARKWAY S@YOUNG AVE,-89.984198,35.119858,4,,8,5
POINT (-89.85261599999995 35.100581000000034),2316,1958,POPMASEN,POPLAR@MASSEY,-89.852616,35.100581,18,,4,2
POINT (-90.02861599999994 35.21401000000003),1782,6883,MILCINNN,MILLINGTON@CINDY,-90.028616,35.21401,23,,1,7
POINT (-90.09658599999995 35.039004000000034),3457,5830,WEANORSM,WEAVER@NORFLEET,-90.096586,35.039004,9,,13,6
POINT (-89.93200099999996 35.18408100000005),1309,4009,JACWA3NM,JACKSON@WALES ST,-89.932001,35.184081,24,,6,7
POINT (-90.03321399999999 35.14350300000007),8,833,ADADUNEN,ADAMS AVE@DUNLAP ST,-90.033214,35.143503,5,,8,7
POINT (-90.03159199999999 35.133458000000076),3240,780,VANEASEN,VANCE@EAST,-90.031592,35.133458,22,,8,6
POINT (-89.87125899999995 35.18066900000008),2990,7074,SYCSYWNF,SYCAMORE VIEW@SYCAMORE WOODS,-89.871259,35.180669,28,,2,1
POINT (-90.03631299999995 35.167696000000035),3140,683,THOHE2IB,THOMAS ST@HENDERSON,-90.036313,35.167696,7,,7,7
POINT (-89.94509199999999 35.12860800000004),1056,3286,HIGGALNN,HIGHLAND ST@GALLOWAY AVE,-89.945092,35.128608,10,,9,4
POINT (-90.00323699999996 35.225392000000056),3401,1337,WATCORSN,WATKINS@CORNING,-90.003237,35.225392,23,,1,7
POINT (-90.05166699999995 35.10696600000006),1568,5077,LATSPASF,LATHAM@SPARKWAY,-90.051667,35.106966,6,,14,6
POINT (-90.05293799999998 35.13758300000006),1837,877,MLKTHIWN,MLK BLVD@THIRD,-90.052938,35.137583,22,,8,6
POINT (-89.83141799999999 35.04134800000003),2503,7235,RIVBIRSN,RIVERDALE@BIRCH RUN,-89.831418,35.041348,14,,10,2
POINT (-90.00376199999994 35.20760000000007),3442,1456,WATWHINN,WATKINS@WHITNEY,-90.003762,35.2076,23,,1,7
POINT (-90.01036699999997 35.08982800000007),2189,4678,PERMERSN,PERRY@MERLIN,-90.010367,35.089828,6,,14,5
POINT (-90.00319699999994 35.117886000000055),1525,5741,LAMSEAEN,LAMAR@SEATTLE,-90.003197,35.117886,13,,8,5
POINT (-89.83088999999995 35.097375000000056),2350,2003,POPPOPWN,POPLAR@POPLAR ESTATES,-89.83089,35.097375,30,,,
POINT (-89.98614599999996 35.159485000000075),1229,3748,JACCHAWF,JACKSON AVE@CHARLES PL,-89.986146,35.159485,11,,7,4
POINT (-89.89627699999994 35.08622900000006),1865,2830,MTMWILSN,MT MORIAH RD@WILLOW RD,-89.896277,35.086229,16,,9,4
POINT (-90.04464499999995 35.148430000000076),2308,1875,POPLAUEM,POPLAR AVE@LAUDERDALE ST,-90.044645,35.14843,3,,8,6
POINT (-89.83890699999995 35.09814200000005),2304,1965,POPKIREF,POPLAR AVE@KIRBY PKWY,-89.838907,35.098142,30,,,
POINT (-89.98225399999995 35.12595100000004),314,3325,CENEPAWM,CENTRAL AVE@E PARKWAY,-89.982254,35.125951,11,,8,4
POINT (-90.02261499999997 35.06488900000005),741,5198,ELVSPRNN,ELVIS PRESLEY@SPRING BROOK,-90.022615,35.064889,15,,12,5
POINT (-89.91087399999998 35.16199900000004),1596,1084,MACBERWN,MACON@BERCLAIR,-89.910874,35.161999,20,,6,1
POINT (-89.96524499999998 35.09507800000006),1417,6141,KIMKCVWN,KIMBALL@KIMBALL COVVE,-89.965245,35.095078,13,,5,5
POINT (-89.93593299999998 35.202735000000075),1341,1235,JAMNOREM,JAMES@NORTHCLIFFE,-89.935933,35.202735,24,,2,7
POINT (-89.92603299999996 35.11876500000005),1014,7042,GOOGRASF,GOODLETT ST@GRANDVIEW AVE,-89.926033,35.118765,10,,9,4
POINT (-89.87551199999996 35.16252700000007),2655,4142,SHESU2WM,SHELBY OAKS@SUMMER,-89.875512,35.162527,28,,3,1
POINT (-90.06975999999997 35.03898900000007),3063,5021,THIHORSF,THIRD@HORN LAKE,-90.06976,35.038989,9,,13,6
POINT (-90.01212299999997 35.13647100000003),3210,3008,UNIMCNWN,UNION AVE@MCNEIL ST,-90.012123,35.136471,4,,8,4
POINT (-89.96924399999995 35.19990000000007),1324,1683,JAMBIRWN,JAMES@BIRCHFIELD,-89.969244,35.1999,23,,1,1
