the_geom,Serial,stopID,stopCode,stopName,Lon,Lat,Shelby County Zip Codes,Memphis 3.0 Focus Anchors Buffers,Memphis 3.0 Planning Districts,City Council Districts
POINT (-89.95622999999995 35.09490900000003),1409,4164,KIMCATWN,KIMBALL AVE@CATHERINE,-89.95623,35.094909,10,,5,5
POINT (-89.88732499999998 35.050609000000065),3573,6495,WINMENWF,WINCHESTER@MENDENHALL,-89.887325,35.050609,17,,11,5
POINT (-89.93099699999999 35.09055600000005),966,240,GETDUNNF,GETWELL@DUNN,-89.930997,35.090556,10,,9,5
POINT (-90.01497899999998 35.21361100000007),2870,1372,STEDELNF,STEELE@DELLWOOD,-90.014979,35.213611,23,,1,7
POINT (-90.06272599999994 35.094025000000045),802,4968,FLOBELNM,FLORIDA@BELZ,-90.062726,35.094025,9,,14,6
POINT (-89.99311199999994 35.13452900000004),3189,3000,UNIDIAWN,UNION AVE@DIANA ST,-89.993112,35.134529,4,,8,4
POINT (-89.88625899999994 35.05297600000006),1777,1852,MENWINSM,MENDENHALL@WINCHESTER,-89.886259,35.052976,14,,11,5
POINT (-89.98081999999994 35.15101800000008),2952,3536,SUMTREWN,SUMMER@TREZEVANT,-89.98082,35.151018,11,,6,4
POINT (-89.95146299999999 35.12346700000006),297,3517,CENALEWF,CENTRAL AVE@ALEXANDER,-89.951463,35.123467,10,,9,4
POINT (-89.94361899999996 35.149402000000066),2911,4102,SUMHIGEF,SUMMER AVE@HIGHLAND,-89.943619,35.149402,20,,9,4
POINT (-90.02767399999999 35.11301800000007),593,4418,CUMTALSF,CUMMINGS@TALLEY PL,-90.027674,35.113018,6,5,14,5
POINT (-89.93614099999996 35.051747000000034),3549,1763,WINGETEF,WINCHESTER@OLD GETWELL,-89.936141,35.051747,17,,11,3
POINT (-89.99708499999997 35.13494300000008),3223,3001,UNITUCWN,UNION AVE@TUCKER ST,-89.997085,35.134943,4,,8,4
POINT (-89.93133299999994 35.038711000000035),75,7160,AIRRAISM,AIR PARK@RAINES,-89.931333,35.038711,17,,11,3
POINT (-89.85448999999994 35.15414300000003),2618,397,SHEJAIEM,SHELBY COUNTY JAIL,-89.85449,35.154143,28,,3,1
POINT (-89.93342499999994 35.14931900000005),2922,4072,SUMLYNWN,SUMMER AVE@LYNNCREST,-89.933425,35.149319,20,,6,4
POINT (-90.01084499999996 35.14342300000004),2366,1892,POPSTOEN,POPLAR@STONEWALL,-90.010845,35.143423,4,,8,4
POINT (-89.86135999999999 35.20465500000006),2778,1014,STABAREF,STAGE@BARTLETT,-89.86136,35.204655,28,,,
POINT (-90.02449899999993 35.057007000000056),701,5195,ELVGATNM,ELVIS PRESLEY@GATEWAY,-90.024499,35.057007,15,,12,3
POINT (-89.97261099999997 35.068952000000024),628,2772,DEMRENEF,DEMOCRAT RD@RENTAL RD,-89.972611,35.068952,17,,11,3
POINT (-90.03773499999994 35.15597100000008),142,811,AUCDANEN,AUCTION@DANNY THOMAS,-90.037735,35.155971,5,,7,7
POINT (-90.00463999999994 35.203973000000076),3433,1506,WATSIGSM,WATKINS@SIGNAL,-90.00464,35.203973,23,,1,7
POINT (-90.04155499999996 35.124551000000054),1824,4449,MISPEANN,MISSISSIPPI BLVD@PEARL PL,-90.041555,35.124551,22,3,14,6
POINT (-89.94479999999999 35.14461300000005),1073,3214,HIGSHISN,HIGHLAND ST@SHIRLWOOD AVE,-89.9448,35.144613,20,,9,4
POINT (-89.99364799999995 35.152341000000035),1961,3541,NPAUNIWF,N PARKWAY@UNIVERSITY,-89.993648,35.152341,7,,8,4
POINT (-89.93770299999994 35.03693100000004),2424,7183,RAIGETWF,RAINES@GETWELL,-89.937703,35.036931,17,,11,3
POINT (-89.95114699999993 35.19926600000008),1342,1230,JAMNRAEF,JAMES@NEW RALEIGH,-89.951147,35.199266,24,,2,7
POINT (-90.05902599999996 35.131935000000055),3646,7118,CENTRSTA,CENTRAL STATION,-90.059026,35.131935,3,,8,6
POINT (-89.85080699999997 35.00572400000004),1116,6951,HOLCRUEM,HOLMES@CRUMPLER,-89.850807,35.005724,31,,11,3
POINT (-89.93132899999995 35.08398800000003),979,2809,GETMALSM,GETWELL RD@MALLORY,-89.931329,35.083988,10,,5,5
POINT (-90.02308399999998 35.168675000000064),413,1635,CHEKNEEN,CHELSEA@KNEY,-90.023084,35.168675,7,,7,7
POINT (-90.07470099999995 35.04284100000007),1584,5845,LEVDECWF,LEVI@DECEMBER,-90.074701,35.042841,9,,13,6
POINT (-90.04676399999994 35.134874000000025),3237,774,VANDANEN,VANCE@DANNY THOMAS,-90.046764,35.134874,22,,8,6
POINT (-89.93976699999996 35.175493000000074),1227,359,JACCEMNM,NATIONAL CEMETERY,-89.939767,35.175493,8,,6,7
POINT (-89.97719499999994 35.10020900000006),1492,5753,LAMHUGEF,LAMAR@HUGENOT,-89.977195,35.100209,13,,5,5
POINT (-89.83115999999995 35.03525200000007),2510,7219,RIVRAINF,RIVERDALE@RAINES,-89.83116,35.035252,21,,10,2
POINT (-90.07564199999996 35.05897300000004),2536,5895,ROCJENSM,ROCHESTER@JENSON,-90.075642,35.058973,9,,13,6
POINT (-89.79260899999997 35.18248600000004),939,951,GERCHINF,GERMANTOWN PKY@CHIMNEY ROCK,-89.792609,35.182486,34,,3,1
POINT (-90.02557799999994 35.141043000000025),564,4383,COUSOMEN,COURT AVE@SOMERVILLE ST,-90.025578,35.141043,4,,8,6
POINT (-89.92392899999999 35.14895000000007),2953,4110,SUMVA1EM,SUMMER AVE@VAUGHN,-89.923929,35.14895,20,,9,4
POINT (-90.04707499999995 35.12931500000008),598,4321,DANGEONF,DANNY THOMAS@GEORGIA,-90.047075,35.129315,22,,8,6
POINT (-90.07546499999995 35.05858000000006),2534,5788,ROCJENNF,ROCHESTER@JENSEN RD,-90.075465,35.05858,9,,13,6
POINT (-89.95216999999997 35.05219400000004),3581,1758,WINNTCEN,WINCHESTER@NEW TCHULAHOMA,-89.95217,35.052194,17,,11,3
POINT (-89.93112899999994 35.041919000000064),67,2606,AIRPRENM,AIR PARK@PREMIER,-89.931129,35.041919,17,,11,3
POINT (-89.96044799999999 35.123511000000065),359,3499,CENTILEF,CENTRAL AVE@TILTON,-89.960448,35.123511,10,,9,4
POINT (-89.92430599999994 35.10744800000003),2037,2157,PARGOOWM,PARK AVE@GOODLETT ST,-89.924306,35.107448,10,,9,4
POINT (-90.01817199999994 35.09426400000007),714,5118,ELVLEDSF,ELVIS PRESLEY@LEDGER,-90.018172,35.094264,6,,14,6
POINT (-89.84862799999996 35.01455200000004),586,2533,CRUPINNF,CRUMPLER@PINE MEADOW,-89.848628,35.014552,31,,10,3
POINT (-89.97564099999994 35.18568700000003),1107,1535,HOLBLUNF,HOLLYWOOD@BLUE RD,-89.975641,35.185687,8,,7,7
POINT (-90.05653299999994 35.087000000000046),3075,5065,THIMALNF,THIRD@MALLORY,-90.056533,35.087,9,,14,6
POINT (-89.90552899999994 35.160991000000024),1708,3951,MCCSTRWN,MCCRORY@STRATFORD,-89.905529,35.160991,20,,6,4
POINT (-89.91556699999995 35.15681300000006),3369,1109,WARGIVNN,WARING@GIVEN,-89.915567,35.156813,20,,6,4
POINT (-89.93084699999997 35.18534800000003),1310,4010,JACWALNN,JACKSON AVE@WALES ST,-89.930847,35.185348,24,,6,7
POINT (-89.94524399999995 35.13051200000007),1060,3222,HIGLILSF,HIGHLAND ST@LILLY LN,-89.945244,35.130512,10,,9,4
POINT (-89.93677799999995 35.02211100000005),987,2573,GETSHENF,GETWELL@SHELBY,-89.936778,35.022111,17,,11,3
POINT (-90.10956799999997 35.049698000000035),788,5590,FIECOOWN,FIELDS@COOK,-90.109568,35.049698,9,,13,6
POINT (-89.91262299999994 35.16200100000003),1623,1085,MACPALWN,MACON@PALLWOOD,-89.912623,35.162001,20,,6,1
POINT (-90.03340199999997 35.142547000000036),1363,852,JEFDUNEN,JEFFERSON@DUNLAP,-90.033402,35.142547,5,,8,7
POINT (-89.99973599999998 35.15261200000003),1949,3606,NPAHAWEN,N PARKWAY@HAWTHORNE,-89.999736,35.152612,11,,8,4
POINT (-90.01416899999998 35.092993000000035),483,4606,CINDUNSN,CINCINATTI@DUNN,-90.014169,35.092993,6,,14,5
POINT (-89.84134199999994 35.04939400000006),3597,1784,WINROSEM,WINCHESTER@ROSS,-89.841342,35.049394,14,,10,2
POINT (-90.02004899999997 35.15164900000008),173,6564,BELAUTSN,BELLEVUE@AUTUMN,-90.020049,35.151649,5,,8,7
POINT (-90.02036699999996 35.10426600000005),720,5217,ELVMONNF,ELVIS PRESLEY@MONTGOMERY,-90.020367,35.104266,6,,14,5
POINT (-90.00742099999997 35.03924100000006),1785,6855,MILDAVNM,MILLBRANCH RD@DAVID DR,-90.007421,35.039241,15,,12,6
POINT (-89.91298199999994 35.148749000000066),2944,4114,SUMSANEN,SUMMER AVE@SANDRIDGE,-89.912982,35.148749,20,,9,4
POINT (-90.04768899999999 35.15076300000004),3077,643,THIMARNM,THIRD@MARKET,-90.047689,35.150763,5,,8,7
